Team Name,Year,Wins,Losses,OT Losses,win,Goals For(GF),Goals Against(GA),+ / -
Dallas Stars,2005,53,23,6,0.646(success),265,218,47(success)
Detroit Red Wings,2005,58,16,8,0.707(success),305,209,96(success)
Edmonton Oilers,2005,41,28,13,0.5(success),256,251,5(success)
Florida Panthers,2005,37,34,11,0.451(danger),240,257,-17(danger)
Los Angeles Kings,2005,42,35,5,0.512(success),249,270,-21(danger)
Minnesota Wild,2005,38,36,8,0.463(danger),231,215,16(success)
Montreal Canadiens,2005,42,31,9,0.512(success),243,247,-4(danger)
Nashville Predators,2005,49,25,8,0.598(success),259,227,32(success)
New Jersey Devils,2005,46,27,9,0.561(success),242,229,13(success)
New York Islanders,2005,36,40,6,0.439(danger),230,278,-48(danger)
New York Rangers,2005,44,26,12,0.537(success),257,215,42(success)
Ottawa Senators,2005,52,21,9,0.634(success),314,211,103(success)
Philadelphia Flyers,2005,45,26,11,0.549(success),267,259,8(success)
Phoenix Coyotes,2005,38,39,5,0.463(danger),246,271,-25(danger)
Pittsburgh Penguins,2005,22,46,14,0.268(danger),244,316,-72(danger)
